Track,Course,Resource Type,Resource Name,Hyperlink (URL),Citation
Software Engineering,Full Stack Open,Course,Full Stack open,https://fullstackopen.com,
Software Engineering,CS50 Web Programming,Course,CS50’s Web Programming with Python and JavaScript,https://cs50.harvard.edu/web/,
Software Engineering,CS50 Web Programming,YouTube Channel,Codevolution,https://www.youtube.com/@Codevolution,
Software Engineering,CS50 Web Programming,Textbook,Eloquent JavaScript,https://eloquentjavascript.net/,
Computer Science,Nand2Tetris,Course,Nand2Tetris: Building a Modern Computer from First Principles,https://www.nand2tetris.org/,
Computer Science,Library+Resources (General),GitHub Repository,Project-Based Learning Repository,https://github.com/practical-tutorials/project-based-learning,
Neural Engineering,Sensory Systems,OpenCourseWare,9.04 Sensory Systems (Fall 2013),https://ocw.mit.edu/courses/9-04-sensory-systems-fall-2013/,
Neural Engineering,Sensory Systems,Study Guide,Learn Medical Neuroscience – Study Tips Sensory Systems,(No explicit URL given) ,
Neural Engineering,Sensory Systems,Teacher's Guide,BioEd Online – The Motor System Teacher's Guide,(No explicit URL given) ,
Neural Engineering,Sensory Systems,Activity Guide,Fun & Function – Sensory-Motor Guide,(No explicit URL given) ,
Neural Engineering,Intro to Neuroscience,MOOC,Coursera – Understanding the Brain,(No explicit URL given) ,
Neural Engineering,Intro to Neuroscience,Textbook,Open Textbook Library – Introduction to Neuroscience,(No explicit URL given) ,
Neural Engineering,Intro to Neuroscience,OCW,MIT OCW – Introduction to Neuroscience,(No explicit URL given) ,
Neural Engineering,Intro to Neuroscience,Textbook,Open Neuroscience Initiative,(No explicit URL given) ,
Neural Engineering,Intro to Neuroscience,Course,Coursera – Neurobiology and Behavior,(No explicit URL given) ,
Neural Engineering,Intro to Neuroscience,Resources,Simply Neuroscience – Resources,(No explicit URL given) ,
Neural Engineering,Intro to Neuroscience,MOOC List,Free Neuroscience MOOCs,(No explicit URL given) ,
Neural Engineering,Intro to Neuroscience,Course,Alison – Free Online Neuroscience Courses,(No explicit URL given) ,
Neural Engineering,Intro to Neuroscience,Resources,Strategic Leadership Institute – Free Neuroscience Resources,(No explicit URL given) ,
Neural Engineering,Neural Engineering,Video Playlist,YouTube – Neural Science for Engineers,(No explicit URL given) ,
Mathematics,Statistics 110,Course,Statistics 110: Probability (Harvard),https://projects.iq.harvard.edu/stat110/home,
Mathematics,Numerical Analysis,YouTube Playlist,Numerical Analysis Course (StudySession),https://www.youtube.com/playlist?list=PLDea8VeK4MUTppAXQzHBNz3KiyEd9SQms,
Mathematics,Partial Differential Equations,YouTube Playlist,Partial Differential Equations (Faculty of Khan),https://www.youtube.com/playlist?list=PLdgVBOaXkb9Ab7UM8sCfQWgdbzxkXTNVD,
Mathematics,Partial Differential Equations,YouTube Playlist,Partial Differential Equations (Faculty of Khan),https://www.youtube.com/playlist?list=PLMrJAkhIeNNQromC4WswpU1krLOq5Ro6S,
Chemistry,Organic Chemistry I & II,YouTube Playlist,Freshman Organic Chemistry II with Michael McBride (YaleCourses),https://www.youtube.com/playlist?list=PLB572BA3ED0F700F1,
Chemistry,Biochemistry,YouTube Playlist,Biochemistry 2 (Yousef Yousri),https://www.youtube.com/playlist?list=PLgDm_hcCyvqtfBKa4mOuIifYkv52kxsqW,
Chemistry,Biochemistry,YouTube Playlist,Biochemistry & Genetics (Dirty Medicine),https://www.youtube.com/playlist?list=PL5rTEahBdxV6prB_iWNU8N2-L5XAktld8,
Chemistry,Biochemistry,YouTube Playlist,MIT 7.05 General Biochemistry (Selected Lectures),https://www.youtube.com/playlist?list=PLUl4u3cNGP62wNcIMfinU64CAfreShjpt,
Chemistry,Inorganic Chemistry,YouTube Playlist,Inorganic/Organometallic Chemistry (Professor Dave Explains),https://www.youtube.com/playlist?list=PLybg94GvOJ9GlYQJWEhxOBtNXH5DKeNsN,
Chemistry,Thermodynamics,YouTube Playlist,Physical chem I (MIT),https://www.youtube.com/playlist?list=PLB1273C507BDE28DC,
Chemistry,Thermodynamics,YouTube Playlist,physical chem II-Quantum Mechanics and Spectroscopy,https://www.youtube.com/playlist?list=PLYHaXvNA5JrevMbLhoazFQbDdw8pfCm-O,
Chemistry,Thermodynamics,YouTube Playlist,"MIT 5.61 Physical Chemistry, Fall 2017",https://www.youtube.com/playlist?list=PLUl4u3cNGP62RsEHXe48Imi9-87FzQaJg,
Chemistry,Thermodynamics,YouTube Playlist,Physical Chemistry I - Chemical Thermodynamics,https://www.youtube.com/playlist?list=PLYHaXvNA5Jrf_z0xbYhlzv0leoGBXHhll,
Chemistry,Thermodynamics,YouTube Playlist,Thermodynamics (Less Boring Lectures),https://www.youtube.com/playlist?list=PLd-0K-8ZyM0WdLse-OASmbqzXdpJcCn3P,
Chemistry,Thermodynamics,YouTube Playlist,Thermodynamics (Engineering Deciphered),https://www.youtube.com/playlist?list=PLOBajja3EcWKh2FzR0KiGQCKkpjN9FpLV,
Chemistry,Thermodynamics,YouTube Playlist,"MIT 5.60 Thermodynamics & Kinetics, Spring 2008",https://www.youtube.com/playlist?list=PLUl4u3cNGP63LOmB3_O0xbgZVZibxj4rb,
Chemistry,Library+Resources (General),YouTube Playlist,(General Chemistry Playlist - Play all),https://www.youtube.com/playlist?list=PLA62087102CC93765,
Chemistry,Library+Resources (General),YouTube Playlist,"MIT 5.111 Principles of Chemical Science, Fall 2014",https://www.youtube.com/playlist?list=PLUl4u3cNGP63LOmB3_O0xbgZVZibxj4rb,
Chemistry,Library+Resources (General),YouTube Playlist,(General Biochemistry Playlist - Play all),https://www.youtube.com/playlist?list=PLB572BA3ED0F700F1,
