Alpha	Beta
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0197719	-0.0101496
0.0133395	-0.0075529
0.00837217	-0.00494437
0.00489281	-0.00279238
0.0026865	-0.00170671
0.00141245	-0.00166769
0.000717192	-0.00186851
0.000312946	-0.00141403
9.05E-06	-0.000136457
-0.000294155	0.00132073
-0.000628422	0.00215917
-0.000982319	0.00207615
-0.00132171	0.00131441
-0.00160391	0.00026394
-0.00178569	-0.000820877
-0.0018296	-0.00174729
-0.00170962	-0.00224499
-0.00141465	-0.00208205
-0.000951113	-0.00131926
-0.000345403	-0.000343327
0.000356591	0.000409569
0.00109393	0.000751644
0.00179655	0.000783648
0.0023927	0.000720132
0.00281825	0.000733775
0.00302503	0.000914506
0.00298632	0.00124384
0.00270104	0.00154027
0.00219503	0.00151344
0.00151727	0.00100058
0.000733636	0.000171716
-8.02E-05	-0.000575219
-0.000847311	-0.000974712
-0.00149797	-0.00111678
-0.00197597	-0.00126019
-0.00224404	-0.0014466
-0.00228792	-0.00139762
-0.00211621	-0.00085696
-0.00175742	1.95E-05
-0.00125667	0.000718874
-0.00067089	0.000851813
-6.22E-05	0.000534457
0.000508025	0.000246822
0.000985449	0.000326045
0.00132886	0.00065398
0.00151364	0.000861567
0.00153274	0.000774184
0.00139733	0.000575912
0.00113572	0.000538805
0.000788654	0.000670137
0.000403682	0.000683291
3.04E-05	0.000300405
-0.000285496	-0.000454755
-0.000508264	-0.00125868
-0.000614784	-0.00172827
-0.000597048	-0.00164583
-0.000463011	-0.00103715
-0.000233795	-0.00014393
6.06E-05	0.000671968
0.000384861	0.00110468
0.000702447	0.00109121
0.000980792	0.000840563
0.00119446	0.000630898
0.00132649	0.000548725
0.00136917	0.000442286
0.00132292	0.000142132
0.00119369	-0.000306814
0.000991801	-0.000662176
0.00073106	-0.000702235
0.000426771	-0.000389914
9.52E-05	0.000141935
-0.000245356	0.000686256
-0.000574729	0.00102605
-0.000872221	0.000985173
-0.00111598	0.000524844
-0.0012842	-0.000174208
-0.00135884	-0.000784139
-0.00132878	-0.00105501
-0.00119237	-0.000985366
-0.000959847	-0.000766626
-0.000653458	-0.000577336
-0.00030486	-0.000440305
4.78E-05	-0.00024465
0.000364143	0.000134885
0.000607648	0.00072968
0.000751399	0.00142781
0.000781157	0.00198399
0.00069838	0.0020993
0.000520896	0.00157381
0.000279319	0.000457323
1.26E-05	-0.000918222
-0.000236468	-0.00205486
-0.000427871	-0.00248881
-0.000530134	-0.00200527
-0.000523993	-0.000795488
-0.000405151	0.000566433
-0.000185301	0.00141033
0.000110753	0.00139331
0.000449206	0.000728728
0.000790542	-2.15E-05
0.00109441	-0.000427841
0.0013259	-0.0004706
0.00145968	-0.000348886
0.00148301	-0.000112494
0.00139758	0.000385699
0.0012179	0.00114724
0.000967338	0.00176404
0.000674783	0.00166144
0.000371236	0.000667375
8.46E-05	-0.000724379
-0.000164078	-0.00173965
-0.000362366	-0.00196589
-0.000507105	-0.00156742
-0.00060412	-0.000911075
-0.000664759	-0.000127104
-0.000702074	0.000849443
-0.000727992	0.00186028
-0.000749534	0.00235023
-0.000766117	0.00180415
-0.000770417	0.00038305
-0.000749965	-0.00101921
-0.000688837	-0.00150827
-0.000572864	-0.00101431
-0.000395024	-0.00033491
-0.000157523	-0.00030425
0.000127266	-0.000923798
0.000436671	-0.00135952
0.000740402	-0.00081225
0.00100502	0.000642585
0.00119853	0.00209072
0.00129587	0.00260558
0.00128435	0.00201134
0.00116539	0.000885948
0.000953369	-7.56E-05
0.000673988	-0.000627725
0.000360395	-0.000952835
4.77E-05	-0.00122209
-0.000231163	-0.00131131
-0.000448728	-0.000972989
-0.000587652	-0.000214092
-0.000641635	0.00058398
-0.000613423	0.000963623
-0.000513425	0.000798913
-0.000358266	0.000373529
-0.000167652	5.13E-05
3.81E-05	-8.44E-05
0.000239757	-0.000224302
0.000421242	-0.00049024
0.000571364	-0.000679254
0.00068223	-0.000434201
0.000748484	0.000308835
0.000768013	0.00111392
0.000741489	0.00137986
0.00067175	0.000907025
0.000564169	9.39E-05
0.000425921	-0.000454875
0.000264223	-0.000492209
8.68E-05	-0.000276124
-9.70E-05	-0.00018629
-0.000276594	-0.000280076
-0.000441487	-0.000290509
-0.000579985	-1.63E-05
-0.000679899	0.00040252
-0.000729917	0.000641103
-0.000720248	0.00054912
-0.000643928	0.000262
-0.000499499	-3.59E-05
-0.000292101	-0.000348879
-3.37E-05	-0.000775443
0.000255929	-0.00121265
0.000550741	-0.00129825
0.000821646	-0.000741736
0.00103884	0.000319812
0.00117437	0.0013672
0.00120734	0.0019137
0.00112748	0.00184772
0.000936062	0.00137794
0.000646549	0.000732564
0.00028398	9.81E-06
-0.000118368	-0.000700378
-0.000522485	-0.00119152
-0.000888787	-0.00125346
-0.00118066	-0.000899599
-0.00136874	-0.00040083
-0.00143282	-4.71E-05
-0.00136359	0.00010577
-0.00116428	0.000215403
-0.000849879	0.000389876
-0.000445288	0.00050298
1.57E-05	0.000316033
0.000493075	-0.000223552
0.000945731	-0.000831675
0.0013344	-0.00105454
0.00162484	-0.000616226
0.00179219	0.000357208
0.00182412	0.00142226
0.0017216	0.00211101
0.0014997	0.0021702
0.00118698	0.00160142
0.000821099	0.000577941
0.000443504	-0.000621176
9.49E-05	-0.00163776
-0.000190077	-0.00212164
-0.000388192	-0.00191971
-0.000489163	-0.00121321
-0.000496441	-0.00040287
-0.000426812	0.000208237
-0.000306539	0.000619529
-0.000165902	0.00100463
-3.47E-05	0.00140048
6.21E-05	0.0015779
0.000108522	0.0012554
9.92E-05	0.000428256
3.80E-05	-0.000546609
-6.29E-05	-0.00119653
-0.000186297	-0.00125705
-0.000314147	-0.000799988
-0.00043019	-0.00013027
-0.000521679	0.000414522
-0.000581111	0.000636269
-0.000605752	0.000555242
-0.000595197	0.000359146
-0.000550457	0.000232604
-0.000473644	0.000181817
-0.000366312	3.56E-05
-0.00022935	-0.000328368
-6.51E-05	-0.000756576
0.000122191	-0.000887685
0.000325582	-0.000503
0.0005336	0.000197325
0.000730016	0.000716097
0.000895753	0.000699944
0.00101072	0.000267311
0.00105651	-0.000115109
0.001021	-8.19E-05
0.000901469	0.000316023
0.000704993	0.000724073
0.000448524	0.000854076
0.000158168	0.000707376
-0.000134536	0.000452793
-0.00039644	0.00015102
-0.000596253	-0.000319163
-0.000709321	-0.00102508
-0.000721578	-0.00171577
-0.000630525	-0.00188738
-0.00044531	-0.00119767
-0.000186733	0.000142926
0.000115513	0.00140837
0.000427325	0.00185823
0.000713278	0.00130333
0.000940181	0.000246139
0.00108126	-0.00052417
0.00111845	-0.000531364
0.00104371	7.97E-05
0.000860644	0.000738726
0.000584133	0.000943045
0.00023809	0.000622355
-0.000146139	0.000100602
-0.000531716	-0.000244711
-0.000880225	-0.000286873
-0.00115553	-0.00017521
-0.00132669	-0.000128417
-0.00137162	-0.000235681
-0.00128053	-0.000440091
-0.00105683	-0.000651919
-0.000717511	-0.000814423
-0.000292906	-0.000862538
0.000176485	-0.000686468
0.000644912	-0.000202148
0.00106602	0.00052501
0.0013985	0.00124746
0.00161237	0.00166215
0.00169242	0.00160782
0.00163881	0.00116616
0.00146716	0.000583439
0.00120611	8.45E-05
0.000891816	-0.000271158
0.000562831	-0.000584152
0.000255047	-0.000956579
-4.20E-06	-0.00131361
-0.000199725	-0.00139581
-0.00032869	-0.000975411
-0.000399512	-0.0001132
-0.000429124	0.000807958
-0.000437859	0.0013443
-0.000444586	0.0013237
-0.000463883	0.00093525
-0.000503118	0.000498463
-0.000560296	0.000167335
-0.0006254	-0.000126306
-0.000682564	-0.000476545
-0.000712449	-0.000808213
-0.000696816	-0.000905308
-0.000623072	-0.000631136
-0.000485892	-0.000105252
-0.00028763	0.000352173
-3.90E-05	0.000464796
0.0002423	0.000213999
0.000534447	-0.00015089
0.000813122	-0.000301579
0.00105408	-7.64E-05
0.001237	0.000394297
0.00134747	0.000776136
0.00137715	0.000769037
0.00132431	0.000330057
0.00119358	-0.000268387
0.000994102	-0.000596167
0.000738966	-0.000365658
0.000445052	0.000315765
0.000130919	0.000949364
-0.000184843	0.000968315
-0.000483495	0.000200158
-0.000747091	-0.000895672
-0.000960149	-0.00150114
-0.00110957	-0.00110216
-0.00118518	1.46E-05
-0.0011816	0.000943056
-0.00109928	0.000933182
-0.000944429	6.95E-05
-0.000729763	-0.000816375
-0.000474336	-0.000943133
-0.00020167	-0.000307713
6.17E-05	0.000383737
0.00028821	0.000480396
0.000453537	3.74E-05
0.000541023	-0.000290487
0.000543044	5.20E-05
0.000462271	0.000953496
0.000312672	0.00172623
0.000117676	0.0017052
-9.28E-05	0.000778503
-0.000285279	-0.000565748
-0.000428003	-0.0016233
-0.000496123	-0.00194415
-0.000474926	-0.00155846
-0.00036195	-0.000841976
-0.000168567	-0.000175517
8.18E-05	0.000295537
0.000357832	0.000620279
0.000624563	0.000840658
0.000847893	0.000903299
0.00100085	0.000784282
0.00106691	0.000615702
0.00104099	0.000567121
0.000930498	0.000587208
0.00075439	0.000389036
0.000539162	-0.000194078
0.00031461	-0.00088272
0.000109833	-0.00112416
-5.23E-05	-0.0006646
-0.000159028	0.000109137
-0.000207008	0.000501956
-0.000202047	0.000211291
-0.000158118	-0.000362785
-9.38E-05	-0.000543319
-2.84E-05	-6.86E-05
2.11E-05	0.00067694
4.31E-05	0.0010801
3.50E-05	0.000881338
2.08E-06	0.000345652
-4.35E-05	-7.39E-05
-8.49E-05	-0.000173612
-0.000103999	-0.000107671
-8.68E-05	-0.000140895
-2.54E-05	-0.000360003
8.05E-05	-0.00062079
0.000221573	-0.000723633
0.000380019	-0.000595155
0.00053289	-0.000293796
0.000655305	0.000113958
0.000724464	0.000611073
0.000724457	0.00113937
0.000649214	0.00150498
0.000503542	0.00145642
0.00030414	0.000901324
7.82E-05	3.81E-05
-0.00014191	-0.000760639
-0.000324403	-0.00121893
-0.000442551	-0.00131414
-0.000479846	-0.00118232
-0.000433453	-0.000918922
-0.000314244	-0.000510663
-0.000146119	5.62E-05
3.65E-05	0.000668367
0.000194697	0.00110053
0.000292629	0.0011715
0.000303026	0.000889622
0.000213609	0.000453806
3.14E-05	0.00012485
-0.000218656	7.66E-05
-0.00049721	0.000301429
-0.000755745	0.000595689
-0.000944403	0.000638849
-0.00102145	0.000159584
-0.000960065	-0.00086901
-0.000753008	-0.00211327
-0.000415274	-0.00295743
1.78E-05	-0.00280127
0.000496366	-0.00143636
0.000962448	0.000737592
0.00135799	0.00282902
0.00163444	0.00389067
0.00175957	0.00345712
0.00172064	0.00184015
0.00152609	-5.87E-05
0.0012035	-0.00132489
0.000793461	-0.00159418
0.00034324	-0.00118728
-9.87E-05	-0.000734003
-0.000489685	-0.000623634
-0.000797583	-0.00075302
-0.0010026	-0.000736575
-0.00109751	-0.000314783
-0.00108687	0.000416013
-0.000983302	0.00108966
-0.000803985	0.00132795
-0.00056902	0.000953595
-0.000299481	6.68E-05
-1.58E-05	-0.000981754
0.000261623	-0.00169939
0.000511112	-0.00166774
0.000710813	-0.00080847
0.000839237	0.000495291
0.000876568	0.00158314
0.00080835	0.0019313
0.000629423	0.0014949
0.000346192	0.000695613
-2.13E-05	6.04E-05
-0.00043888	-0.000169995
-0.000861251	-0.000132839
-0.00123767	-0.000116772
-0.00151749	-0.000287573
-0.00165793	-0.000615526
-0.00163205	-0.00099487
-0.00143333	-0.00134951
-0.00107758	-0.00159236
-0.000602636	-0.0015446
-6.31E-05	-0.00100531
0.000478778	3.94E-05
0.000960474	0.00129387
0.00132762	0.00227844
0.00154223	0.00261714
0.00158745	0.00224774
0.00146804	0.00140088
0.00120925	0.000407391
0.000852827	-0.000482123
0.000449402	-0.00115323
5.15E-05	-0.00157973
-0.000292766	-0.00173991
-0.000545462	-0.00156628
-0.000683141	-0.000990259
-0.000697112	-7.45E-05
-0.000593136	0.000891441
-0.000390317	0.00147718
-0.000117063	0.00137416
0.000193306	0.000638905
0.000505151	-0.000313137
0.00078378	-0.000984558
0.000998914	-0.00110065
0.00112615	-0.000690462
0.00114822	4.75E-05
0.00105779	0.000884856
0.00085912	0.00158055
0.000567977	0.00186277
0.000212131	0.00152531
-0.000170345	0.000624627
-0.000535634	-0.000442056
-0.000838685	-0.00115237
-0.00103812	-0.00124298
-0.00110302	-0.000918219
-0.0010191	-0.000663154
-0.000791743	-0.000798615
-0.000447098	-0.0011675
-3.04E-05	-0.00125378
0.000400696	-0.000654459
0.000785362	0.0005183
0.00106887	0.00168701
0.00121172	0.00227849
0.00119685	0.0021813
0.00103183	0.00175579
0.000747064	0.00138477
0.000390953	0.0010264
2.10E-05	0.000260441
-0.000306644	-0.00117802
-0.00054637	-0.00290684
-0.000669905	-0.00398023
-0.000671448	-0.00355294
-0.000566945	-0.00158216
-0.000388289	0.00103947
-0.000176309	0.00304827
2.75E-05	0.00361882
0.00018997	0.00280646
0.000292029	0.00135168
0.000330859	7.47E-05
0.000319719	-0.000648536
0.000283951	-0.000964318
0.000252765	-0.00120842
0.000251662	-0.00151888
0.000296541	-0.0017201
0.00038881	-0.00151425
0.000514514	-0.000766642
0.000647652	0.000354044
0.000754698	0.00145355
0.000800686	0.00211356
0.000757501	0.00209572
0.000610994	0.00146907
0.000364002	0.000586319
3.66E-05	-0.000133679
-0.000336547	-0.000500048
-0.000711899	-0.000660185
-0.00104451	-0.000882674
-0.00129357	-0.00120682
-0.00142809	-0.00134483
-0.00143194	-0.000990793
-0.00130504	-0.000221349
-0.00106225	0.000491699
-0.000731399	0.000718477
-0.00034845	0.000481492
4.81E-05	0.000178873
0.000421183	0.000125321
0.000737633	0.000252146
0.000971876	0.000290623
0.00110775	0.000167646
0.00113846	9.81E-05
0.00106662	0.000266002
0.000904175	0.000527955
0.000670631	0.000548316
0.000391822	0.000216393
9.88E-05	-0.000176416
-0.000175272	-0.000245747
-0.000399272	2.60E-05
-0.000546543	0.000219795
