Results Table 1,,
,Specimen label,Specimen note 1
1,400,
,,
Time,Displacement,Force
(s),(mm),(N)
0,0,-2.5529
0.02,0.0014,-1.6167
0.04,0.0224,10.2085
0.06,0.09,44.898
0.08,0.2047,97.4895
0.1,0.3353,151.7307
0.12,0.468,201.5297
0.14,0.6028,246.7521
0.16,0.7388,287.0282
0.18,0.8746,322.7906
0.2,1.0094,354.7034
0.22,1.1433,383.6912
0.24,1.2767,410.381
0.26,1.41,435.6083
0.28,1.5434,459.891
0.3,1.677,482.7596
0.32,1.8104,504.3918
0.34,1.9437,524.9375
0.36,2.077,544.7941
0.38,2.2104,563.4425
0.4,2.3438,581.2493
0.42,2.4771,598.132
0.44,2.6103,614.2609
0.46,2.7436,629.4282
0.48,2.877,643.8538
0.5,3.0104,657.7215
0.52,3.1437,670.8438
0.54,3.277,683.3567
0.56,3.4104,695.2523
0.58,3.5437,706.7468
0.6,3.677,717.6
0.62,3.8103,727.9227
0.64,3.9437,737.7948
0.66,4.0771,747.1967
0.68,4.2104,756.0342
0.7,4.3437,764.3397
0.72,4.477,772.3242
0.74,4.6103,779.7836
0.76,4.7437,787.0541
0.78,4.877,793.838
0.8,5.0103,800.4517
0.82,5.1436,806.7278
0.84,5.277,812.6558
0.86,5.4104,818.3722
0.88,5.5436,823.832
0.9,5.677,829.0044
0.92,5.8104,833.9296
0.94,5.9438,838.6859
0.96,6.077,843.1237
0.98,6.2102,847.4593
1,6.3436,851.4697
1.02,6.477,855.3932
1.04,6.6104,859.1475
1.06,6.7437,862.5922
1.08,6.8771,865.9486
1.1,7.0105,869.1642
1.12,7.1438,872.2219
1.14,7.277,874.9843
1.16,7.4103,877.7206
1.18,7.5437,880.316
1.2,7.6771,882.9431
1.22,7.8105,885.1884
1.24,7.9437,887.3902
1.26,8.0771,889.4816
1.28,8.2105,891.4228
1.3,8.3439,893.1691
1.32,8.4771,894.7672
1.34,8.6102,896.5333
1.36,8.7434,898.1594
1.38,8.8768,899.6902
1.4,9.0103,901.0217
1.42,9.1437,902.3809
1.44,9.2771,903.5594
1.46,9.4105,904.7401
1.48,9.5439,905.7621
1.5,9.677,906.6033
1.52,9.8102,907.5825
1.54,9.9435,908.343
1.56,10.0769,909.1354
1.58,10.2104,909.8056
1.6,10.3437,910.5009
1.62,10.4771,911.0674
1.64,10.6105,911.5993
1.66,10.7437,912.0649
1.68,10.877,912.4703
1.7,11.0103,912.8155
1.72,11.1437,913.1359
